"establishment_id","establishment_name","minimum_inspections_peryear","lat","lon","score","Freq","type"
"9049513","TIM HORTON",2,43.8129947,-79.2426444,100,23,"Other"
"9011343","OPEN WINDOW BAKERY",2,43.7583953,-79.3138975,100,23,"Other"
"10345831","HONG KONG ISLAND BAKERY",3,43.6539898,-79.3987277,59,23,"Other"
"9407401","BAKE SALE ON THE KINGSWAY",2,43.6469,-79.5141157,100,23,"Other"
"9236619","DESSERT TRENDS",2,43.6788536,-79.4739011,100,23,"Other"
"10427159","TORI'S BAKE SHOP",2,43.6721532,-79.2903522,100,23,"Other"
"9001854","B & A BAKERY BAKE SHOP",2,43.7738847,-79.2437544,86,23,"Other"
"10360577","HOTEL GELATO",3,43.7035157,-79.4143386,100,23,"Other"
"9010004","MENALON BAKERY",2,43.6805848,-79.4307137,100,23,"Other"
"10434519","MADAME GATEAUX",1,43.6854841,-79.3143636,100,23,"Other"
"10432889","NEW GARDEN",2,43.787139,-79.2704249,100,23,"Other"
"9009707","MARY MACLEOD'S SHORTBREAD",2,43.658176,-79.3523925,100,23,"Other"
"10450078","TARTISTRY",2,43.6214797,-79.5251502,100,23,"Other"
"9017373","BANGALI SWEET HOUSE",3,43.749681,-79.5532442,80,23,"Other"
"10351083","LA CASA DOLCE",2,43.6078022,-79.5479107,100,23,"Other"
"10285424","FLOUR STUDIO",2,43.7005901,-79.4268966,100,23,"Other"
"10396737","PAGEL FRENCH PASTRIES",3,43.7677494,-79.2276729,100,23,"Other"
"9012453","PRETZEL MAKER/MRS. FIELDS",1,43.7245053,-79.4554545,100,23,"Other"
"9012038","PINO BAKERY",2,43.7363786,-79.4204058,100,23,"Other"
"10390574","CAKE OPERA",2,43.6996446,-79.4323795,100,23,"Other"
"9395730","PATACHOU PATISSERIE",3,43.6803341,-79.431872,100,23,"Other"
"10350085","QUEEN'S PATISSERIE",1,43.8130863,-79.2915115,100,23,"Other"
