"establishment_id","establishment_name","establishmenttype","minimum_inspections_peryear","lat","lon","score"
"10185207","TIM HORTONS","Restaurant",2,43.832804,-79.2665806,100
"10185464","GLEN EDEN FRUIT MARKET","Food Store (Convenience / Variety)",1,43.7132211,-79.4281977,100
"10185511","GHAZELE","Food Take Out",3,43.6653152,-79.4103791,96
"10185522","WING LOON FOOD PRODUCT","Food Processing Plant",2,43.7538627,-79.290825,93
"10185527","CHRISTIE OSSINGTON NEIGHBOURHOOD CENTRE (MEN'S HOSTEL & HOUSING)","Community Kitchen Meal Program",3,43.6660034,-79.4461592,100
"10185533","TIM HORTONS","Food Take Out",2,43.6541983,-79.3393463,100
"10185562","EPICURE CAFE & GRILL","Restaurant",3,43.6478501,-79.4012819,85
"10185565","MAMMA'S PIZZA","Restaurant",2,43.6497924,-79.4825925,100
"10185572","MOT NA SON RESTAURANT","Restaurant",3,43.7745181,-79.4144777,100
"10185580","NGUYEN HUONG VIETNAMESE SANDWICHES","Food Take Out",2,43.8328306,-79.2658718,67
"10185696","SOLERO MEDITERRANEAN BAKERY","Bakery",3,43.665333,-79.4700625,100
"10185991","NORTH PARK SMOKE & GIFT","Food Store (Convenience / Variety)",1,43.7087429,-79.4777619,100
"10186064","HOME DINERS EXPRESS","Restaurant",2,43.7075431,-79.5621455,100
"10186202","ALPHABET KIDS","Food Caterer",3,43.7370084,-79.3232089,96
"10186209","SUBWAY SANDWICHES","Restaurant",2,43.6141866,-79.5590189,91
"10186365","CANADA HERB","Food Depot",1,43.6472353,-79.4199309,100
"10186385","INTERPACK MONEY","Food Store (Convenience / Variety)",1,43.6646585,-79.4130127,100
"10186467","BASKIN-ROBBINS ICE CREAM","Food Take Out",2,43.7743445,-79.2535219,100
"10186500","TREATS","Food Take Out",2,43.670313,-79.3864459,97
"10186502","NEW ORLEANS SEAFOOD & STEAKHOUSE","Restaurant",3,43.677733,-79.5062331,100
"10186546","TUNG HING BAKERY","Bakery",2,43.6651819,-79.3523762,97
"10186651","ZAM ZAM FOODS","Bakery",2,43.8105018,-79.2386645,100
"10186689","EXPRESS THAI CUISINE","Food Take Out",3,43.6982126,-79.4514691,99
"10186695","STARBUCKS COFFEE","Restaurant",1,43.665474,-79.4099274,100
"10186737","SHOPPERS DRUG MART","Food Store (Convenience / Variety)",1,43.7858095,-79.4168311,100
"10186738","SPICY PIZZA WINGS","Food Take Out",2,43.8131496,-79.2422076,93
"10186811","A LA CARTE KITCHEN","Food Caterer",3,43.7058191,-79.351374,100
"10186867","SUBWAY SANDWICHES AND SALADS","Food Take Out",2,43.7207271,-79.5099498,100
"10186892","STARFISH CARIBBEAN MARKET","Supermarket",2,43.698259,-79.511035,97
"10186895","ROWNTREE MEATS","Butcher Shop",2,43.7509389,-79.585675,100
"10186932","MR. SUB","Restaurant",2,43.6910464,-79.2892598,100
"10186971","THE CROOKED STAR","Restaurant",3,43.6487316,-79.4206982,100
"10187087","METROPOLIS BAKESHOP","Food Court Vendor",2,43.670356,-79.3870473,100
"10187182","LAURA SECORD","Food Take Out",2,43.7743445,-79.2535219,100
"10187202","THE NEW PEPPER CHILI","Restaurant",3,43.6653854,-79.3527466,100
"10187256","PHO BOLSA RESTAURANT","Restaurant",3,43.6963293,-79.4468406,100
"10187323","THE ORIENTAL GOURMET","Restaurant",3,43.822058,-79.298592,83
"10187331","BAMDAD SUPERMARKET LTD.","Food Store (Convenience / Variety)",1,43.7628243,-79.3454499,100
"10187408","SHERBOURNE VARIETY & GIFT","Food Store (Convenience / Variety)",1,43.6684594,-79.3749904,100
"10187416","MARKET CONVENIENCE","Food Store (Convenience / Variety)",1,43.706029,-79.4025099,100
"10187417","YONGE GIFT & VARIETY","Food Store (Convenience / Variety)",1,43.7155827,-79.4003179,100
"10187427","MAC'S","Food Store (Convenience / Variety)",1,43.7123631,-79.3643084,100
"10187443","GERRARD VARIETY","Food Store (Convenience / Variety)",1,43.6692132,-79.3361673,95
"10187444","SALSICHARIA E TALHO RIBEIRO","Butcher Shop",2,43.680863,-79.4624602,100
"10187448","DUNN MILK","Food Store (Convenience / Variety)",1,43.6335252,-79.4313405,100
