address,full_address,lat,lon
"870 MARKHAM RD","870 Markham Road, Toronto, ON M1H 2Y2, Canada",43.7682525,-79.22865159999999
"1550 JANE ST","1550 Jane Street, North York, ON M9N 2R5, Canada",43.6982039,-79.5027124
"1635 LAWRENCE AVE W","1635 Lawrence Avenue West, Toronto, ON M6L 3C9, Canada",43.7045112,-79.4921188
"606 BROWNS LINE","606 Brown's Line, Toronto, ON M8W 2K2, Canada",43.6053524,-79.54686509999999
"500 REXDALE BLVD","500 Rexdale Boulevard, Toronto, ON M9W 6K5, Canada",43.7171167,-79.5963342
"1172 BLOOR ST W","1172 Bloor Street West, Toronto, ON M6H 1N1, Canada",43.65952799999999,-79.43713079999999
"361 OAKWOOD AVE","361 Oakwood Avenue, Toronto, ON M6E 2W1, Canada",43.6870828,-79.4386538
"1788 JANE ST","1788 Jane Street, Toronto, ON M9N 2S5, Canada",43.7063633,-79.5047314
"187 SHEPPARD AVE E","187 Sheppard Avenue East, Toronto, ON M2N 3A8, Canada",43.7638723,-79.3992779
"2372 EGLINTON AVE E","2372 Eglinton Avenue East, Toronto, ON M1K 2P3, Canada",43.7314836,-79.2712014
"2548 EGLINTON AVE W","2548 Eglinton Avenue West, Toronto, ON M6M 1T1, Canada",43.6911317,-79.47138319999999
"759 JANE ST","759 Jane Street, Toronto, ON M6N 4B3, Canada",43.6711561,-79.4935064
"451 PARLIAMENT ST","451 Parliament Street, Toronto, ON M5A 3A3, Canada",43.6635561,-79.3675518
"1468 QUEEN ST W","1468 Queen Street West, Toronto, ON M6K 1M3, Canada",43.6405993,-79.43664869999999
"37 KING ST E","37 King Street East, Toronto, ON M5C 1E9, Canada",43.64938300000001,-79.3761995
"416 DUNDAS ST E","416 Dundas Street East, Toronto, ON M5A 2A9, Canada",43.659241,-79.3669575
"493 DANFORTH AVE","493 Danforth Avenue, Toronto, ON M4K 1P5, Canada",43.6779539,-79.3492756
"521 DANFORTH AVE","521 Danforth Avenue, Toronto, ON M4K 1P7, Canada",43.67823509999999,-79.3482274
"101 COXWELL AVE","101 Coxwell Avenue, Toronto, ON M4L 3B2, Canada",43.66903809999999,-79.3175193
"3228 WESTON RD","3228 Weston Road, North York, ON M9M 1M8, Canada",43.7390401,-79.53958639999999
"7 CHARLES ST W","7 Charles Street West, Toronto, ON M4Y 1R4, Canada",43.6685464,-79.3866973
"975 DANFORTH AVE","975 Danforth Avenue, Toronto, ON M4J 1L8, Canada",43.6802826,-79.3377707
"1308 DANFORTH AVE","1308 Danforth Avenue, Toronto, ON M4J 1M8, Canada",43.6820393,-79.3297461
"250 THE EAST MALL","250 The East Mall, Toronto, ON M9B 6L3, Canada",43.6327811,-79.5546869
"2300 YONGE ST","2300 Yonge Street, Toronto, ON M4P 3C8, Canada",43.7071543,-79.3987777
"40 BAY ST","40 Bay Street, Toronto, ON M5J, Canada",43.6440708,-79.378436
"565 SHERBOURNE ST","565 Sherbourne Street, Toronto, ON M4X 1W7, Canada",43.6702216,-79.3757621
"1220 ST CLAIR AVE W","1220 Saint Clair Avenue West, Toronto, ON M6E, Canada",43.6776493,-79.44469289999999
"1 BESTOBELL RD","1 Bestobell Road, Toronto, ON M8W 2T7, Canada",43.6133081,-79.5404937
"392 COLLEGE ST","392 College Street, Toronto, ON M5T 1S7, Canada",43.6569026,-79.4056038
"31 ST DENNIS DR","31 Saint Dennis Drive, Toronto, ON M3C 0J8, Canada",43.7184529,-79.33048339999999
"1880 WESTON RD","1880 Weston Road, Toronto, ON M9N 1V9, Canada",43.6998006,-79.5157084
"2619 EGLINTON AVE E","2619 Eglinton Avenue East, Toronto, ON M1K 5K2, Canada",43.73575599999999,-79.2525593
"3618 VICTORIA PARK AVE","3618 Victoria Park Avenue, Toronto, ON M2H 3S2, Canada",43.8064402,-79.3376689
"485 DANFORTH AVE","485 Danforth Avenue, Toronto, ON M4K 3E1, Canada",43.6779853,-79.3495002
"1 SNOOKER ST","1 Snooker Street, Toronto, ON M6K 1Y2, Canada",43.63952279999999,-79.4202919
"2101 ISLINGTON AVE","2101 Islington Avenue, Toronto, ON M9P 3R1, Canada",43.703328,-79.5495447
"1 HAFIS RD","1 Hafis Road, Toronto, ON M6M 2V7, Canada",43.7059983,-79.4707902
"40 BERTRAND AVE","40 Bertrand Avenue, Toronto, ON M1L 2P3, Canada",43.7344413,-79.28350879999999
"1184 QUEEN ST W","1184 Queen Street West, Toronto, ON M6J 1J5, Canada",43.6429036,-79.42587470000001
